Seventeenth Lok Sabha,,
Sitting Members (Alphabetical),,
Name of Member,Party Name,Constituency & State
Dr. (Smt.) Kakoli Ghosh Dastidar,All India Trinamool Congress,Barasat (West Bengal)
Shri Nitesh Ganga Deb,Bharatiya Janata Party,Sambalpur (Odisha)
Shri Sunny Deol,Bharatiya Janata Party,Gurdaspur (Punjab)
Smt. Rama Devi,Bharatiya Janata Party,Sheohar (Bihar)
Smt. Veena Devi,Lok Jan Shakti Party,Vaishali (Bihar)
Shri Rameshbhai Lavjibhai Dhaduk,Bharatiya Janata Party,Porbandar (Gujarat)
Shri Balubhau Narayanrao (Alias Suresh) Dhanorkar,Indian National Congress,Chandrapur (Maharashtra)
Shri Dharambir Singh,Bharatiya Janata Party,Bhiwani-Mahendragarh (Haryana)
Shri Arvind Dharmapuri,Bharatiya Janata Party,Nizamabad (Telangana)
Shri Sanjay Shamrao Dhotre,Bharatiya Janata Party,Akola (Maharashtra)
Shri Rajveer Diler,Bharatiya Janata Party,Hathras (SC)(Uttar Pradesh)
Shri Saikia Dilip,Bharatiya Janata Party,Mangaldoi (Assam)
Dr. DNV Senthilkumar S,Dravida Munnetra Kazhagam,Dharmapuri (Tamil Nadu)
Dr. Nishikant Dubey,Bharatiya Janata Party,Godda (Jharkhand)
Shri Vijay Kumar Dubey,Bharatiya Janata Party,Kushi Nagar (Uttar Pradesh)
Smt. Sunita Duggal,Bharatiya Janata Party,Sirsa (SC)(Haryana)
Shri Harish Dwivedi,Bharatiya Janata Party,Basti (Uttar Pradesh)
Shri Hibi Eden,Indian National Congress,Ernakulam (Kerala)
Shri Anil Firojiya,Bharatiya Janata Party,Ujjain (SC)(Madhya Pradesh)
Shri Parvatagouda Chandanagouda Gaddigoudar,Bharatiya Janata Party,Bagalkot (Karnataka)
Shri Nitin Jairam Gadkari,Bharatiya Janata Party,Nagpur (Maharashtra)
Shri Jayadev Galla,Telugu Desam Party,Guntur (Andhra Pradesh)
Shri Gautam Gambhir,Bharatiya Janata Party,East Delhi (NCT of Delhi)
Shri Feroze Varun Gandhi,Bharatiya Janata Party,Pilibhit (Uttar Pradesh)
Smt. Maneka Sanjay Gandhi,Bharatiya Janata Party,Sultanpur (Uttar Pradesh)
Shri Rahul Gandhi,Indian National Congress,Wayanad (Kerala)
Smt. Sonia Gandhi,Indian National Congress,Rae Bareli (Uttar Pradesh)
Shri A. Ganeshamurthi,Dravida Munnetra Kazhagam,Erode (Tamil Nadu)
Shri Kishan Reddy Gangapuram,Bharatiya Janata Party,Secunderabad (Telangana)
Shri Santosh Kumar Gangwar,Bharatiya Janata Party,Bareilly (Uttar Pradesh)
Shri Tapir Gao,Bharatiya Janata Party,Arunachal East (Arunachal Pradesh)
Shri Satish Kumar Gautam,Bharatiya Janata Party,Aligarh (Uttar Pradesh)
Dr. Heena Vijaykumar Gavit,Bharatiya Janata Party,Nandurbar (ST)(Maharashtra)
Shri Rajendra Dhedya Gavit,Shiv Sena,Palghar (ST)(Maharashtra)
Dr. Vijay Kumar Singh General (Retd.),Bharatiya Janata Party,Ghaziabad (Uttar Pradesh)
Shri Dilip Ghosh,Bharatiya Janata Party,Medinipur (West Bengal)
Shri Jasbir Singh Gill,Indian National Congress,Khadoor Sahib (Punjab)
Shri S. Gnanathiraviam,Dravida Munnetra Kazhagam,Tirunelveli (Tamil Nadu)
Shri Hemant Tukaram Godse,Shiv Sena,Nashik (Maharashtra)
Shri Gaurav Gogoi,Indian National Congress,Kaliabor (Assam)
Shri Topon Kumar Gogoi,Bharatiya Janata Party,Jorhat (Assam)
Shri Gopal Jee Thakur,Bharatiya Janata Party,Darbhanga (Bihar)
Shri Dulal Chandra Goswami,Janata Dal (United),Katihar (Bihar)
Shri Devaragunda Venkappa Sadananda Gowda,Bharatiya Janata Party,Bangalore North (Karnataka)
Shri Sangamlal Kadedin Gupta,Bharatiya Janata Party,Pratapgarh (Uttar Pradesh)
Shri Sudheer Gupta,Bharatiya Janata Party,Mandsour (Madhya Pradesh)
Shri Krishan Pal Gurjar,Bharatiya Janata Party,Faridabad (Haryana)
Shri Maddila Gurumoorthy,Yuvajana Sramika Rythu Congress Party,Tirupati (SC)(Andhra Pradesh)
Shri Hans Raj Hans,Bharatiya Janata Party,North West Delhi (SC)(NCT of Delhi)
Shri Vijay Kumar Hansdak,Jharkhand Mukti Morcha,Rajmahal (ST)(Jharkhand)
Ms. Ramya Haridas,Indian National Congress,Alathur (SC)(Kerala)
Dr. Harsh Vardhan,Bharatiya Janata Party,Chandni Chowk (NCT of Delhi)
Dr. S.T. Hasan,Samajwadi Party,Moradabad (Uttar Pradesh)
Shri Anantkumar Hegde,Bharatiya Janata Party,Uttara Kannada (Karnataka)
Smt. Hema Malini,Bharatiya Janata Party,Mathura (Uttar Pradesh)
Shri Kunar Hembram,Bharatiya Janata Party,Jhargram (ST)(West Bengal)
Smt. Smriti Zubin Irani,Bharatiya Janata Party,Amethi (Uttar Pradesh)
Shri Prataprao Jadhav,Shiv Sena,Buldhana (Maharashtra)
Shri Sanjay Haribhau Jadhav,Shiv Sena,Parbhani (Maharashtra)
Dr. Umesh G. Jadhav,Bharatiya Janata Party,Gulbarga (SC)(Karnataka)
Shri S. Jagathrakshakan,Dravida Munnetra Kazhagam,Arakkonam (Tamil Nadu)
Shri Jai Prakash,Bharatiya Janata Party,Hardoi (SC)(Uttar Pradesh)
Dr. Sanjay Jaiswal,Bharatiya Janata Party,Paschim Champaran (Bihar)
Smt. Darshana Vikram Jardosh,Bharatiya Janata Party,Surat (Gujarat)
Shri Choudhury Mohan Jatua,All India Trinamool Congress,Mathurapur (SC)(West Bengal)
Shri Sukhbir Singh Jaunapuria,Bharatiya Janata Party,Tonk-Sawai Madhopur (Rajasthan)
Dr. Mohammad Jawed,Indian National Congress,Kishanganj (Bihar)
Dr. K. Jayakumar,Indian National Congress,Tiruvallur (SC)(Tamil Nadu)
Shri Ramesh Chandappa Jigajinagi,Bharatiya Janata Party,Bijapur (SC)(Karnataka)
Shri Annasaheb Shankar Jolle,Bharatiya Janata Party,Chikkodi (Karnataka)
Prof. Rita Bahuguna Joshi,Bharatiya Janata Party,Allahabad (Uttar Pradesh)
Shri Chandra Prakash Joshi,Bharatiya Janata Party,Chittorgarh (Rajasthan)
Shri Pralhad Venkatesh Joshi,Bharatiya Janata Party,Dharwad (Karnataka)
Ms. S. Jothi Mani,Indian National Congress,Karur (Tamil Nadu)
Sadhvi Niranjan Jyoti,Bharatiya Janata Party,Fatehpur (Uttar Pradesh)
Shri Kani K. Navas,Indian Union Muslim League,Ramanathapuram (Tamil Nadu)
Shri Naranbhai Bhikhabhai Kachhadiya,Bharatiya Janata Party,Amreli (Gujarat)
Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,Khagaria (Bihar)
Dr. Veeraswamy Kalanidhi,Dravida Munnetra Kazhagam,Chennai North (Tamil Nadu)
Shri Dileshwar Kamait,Janata Dal (United),Supaul (Bihar)
Shri Raghu Ramakrishna Raju Kanumuru,Yuvajana Sramika Rythu Congress Party,Narsapuram (Andhra Pradesh)
Shri Kishan Kapoor,Bharatiya Janata Party,Kangra (Himachal Pradesh)
Shri Sanganna Amarappa Karadi,Bharatiya Janata Party,Koppal (Karnataka)
Km. Shobha Karandlaje,Bharatiya Janata Party,Udupi Chikmagalur (Karnataka)
Smt. Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,Thoothukkudi (Tamil Nadu)
Shri Dharmendra Kumar Kashyap,Bharatiya Janata Party,Aonla (Uttar Pradesh)
Shri Suresh Kumar Kashyap,Bharatiya Janata Party,Shimla (SC)(Himachal Pradesh)
Shri Rahul Kaswan,Bharatiya Janata Party,Churu (Rajasthan)
